time	conversion	overall_conversion
5206.82	0.670717	0.670717
5216.82	0.67124	0.67124
5226.82	0.671756	0.671756
5236.82	0.672272	0.672272
5246.82	0.672785	0.672785
5256.82	0.6733	0.6733
5266.82	0.673807	0.673807
5276.82	0.674314	0.674314
5286.83	0.674817	0.674817
5296.83	0.675317	0.675317
5306.83	0.675812	0.675812
5316.83	0.676307	0.676307
5326.83	0.676808	0.676808
5336.83	0.677305	0.677305
5346.83	0.677803	0.677803
5356.83	0.678293	0.678293
5366.83	0.678786	0.678786
5376.83	0.679275	0.679275
5386.83	0.679764	0.679764
5396.83	0.680249	0.680249
5406.83	0.680734	0.680734
5416.83	0.681221	0.681221
5426.83	0.681704	0.681704
5436.83	0.68218	0.68218
5446.83	0.682657	0.682657
5456.83	0.683127	0.683127
5466.83	0.683598	0.683598
5476.83	0.684071	0.684071
5486.83	0.684537	0.684537
5496.83	0.685009	0.685009
5506.83	0.685475	0.685475
5516.83	0.685939	0.685939
5526.83	0.686401	0.686401
5536.83	0.686859	0.686859
5546.83	0.687316	0.687316
5556.84	0.687769	0.687769
5566.84	0.688216	0.688216
5576.84	0.688674	0.688674
5586.84	0.689124	0.689124
5596.84	0.689572	0.689572
5606.84	0.690023	0.690023
5616.84	0.69047	0.69047
5626.84	0.690916	0.690916
5636.84	0.691354	0.691354
5646.84	0.691794	0.691794
5656.84	0.692235	0.692235
5666.84	0.692673	0.692673
5676.84	0.693106	0.693106
5686.84	0.69354	0.69354
5696.84	0.693976	0.693976
5706.84	0.694408	0.694408
5716.84	0.694835	0.694835
5726.84	0.695261	0.695261
5736.84	0.695688	0.695688
5746.84	0.696119	0.696119
5756.84	0.696538	0.696538
5766.84	0.696953	0.696953
5776.84	0.697367	0.697367
5786.84	0.697783	0.697783
5796.84	0.698198	0.698198
5806.84	0.698616	0.698616
5816.84	0.699026	0.699026
5826.84	0.699433	0.699433
5836.84	0.699842	0.699842
5846.84	0.700252	0.700252
5856.84	0.70066	0.70066
5866.85	0.701067	0.701067
5876.85	0.701472	0.701472
5886.85	0.701875	0.701875
5896.85	0.70228	0.70228
5906.85	0.702675	0.702675
5916.85	0.70307	0.70307
5926.85	0.703463	0.703463
5936.85	0.703859	0.703859
5946.85	0.704251	0.704251
5956.85	0.70464	0.70464
5966.85	0.705032	0.705032
5976.85	0.705423	0.705423
5986.85	0.705812	0.705812
5996.85	0.706199	0.706199
6006.85	0.706585	0.706585
6016.85	0.706967	0.706967
6026.85	0.707352	0.707352
6036.85	0.707733	0.707733
