conversion num_unsaturated num_saturated num_HHbond
0.674314 6511 5984 2183
0.674817 6512 5986 2183
0.675317 6514 5987 2183
0.675812 6514 5987 2184
0.676307 6516 5989 2184
0.676808 6517 5990 2186
0.677305 6518 5990 2186
0.677803 6519 5991 2186
0.678293 6521 5991 2187
0.678786 6521 5991 2187
0.679275 6522 5992 2187
0.679764 6523 5992 2187
0.680249 6527 5995 2187
0.680734 6527 5995 2187
0.681221 6527 5995 2187
0.681704 6528 5995 2187
0.68218 6530 5995 2187
0.682657 6530 5995 2189
0.683127 6532 5996 2189
0.683598 6535 5997 2190
0.684071 6535 5997 2191
0.684537 6535 5997 2191
0.685009 6535 5997 2191
0.685475 6536 5998 2191
0.685939 6536 5998 2191
0.686401 6539 5999 2192
0.686859 6540 6000 2192
0.687316 6543 6002 2192
0.687769 6545 6004 2193
0.688216 6546 6004 2193
0.688674 6547 6004 2193
0.689124 6547 6004 2193
0.689572 6547 6004 2193
0.690023 6548 6005 2194
0.69047 6549 6005 2194
0.690916 6549 6005 2194
0.691354 6551 6005 2194
0.691794 6551 6005 2194
0.692235 6554 6005 2195
0.692673 6555 6005 2195
0.693106 6556 6006 2195
0.69354 6558 6006 2195
0.693976 6559 6006 2195
0.694408 6559 6006 2195
0.694835 6559 6006 2196
0.695261 6560 6006 2197
0.695688 6560 6006 2197
0.696119 6561 6007 2198
0.696538 6562 6008 2198
0.696953 6562 6008 2198
0.697367 6563 6008 2199
0.697783 6565 6008 2199
0.698198 6566 6008 2199
0.698616 6567 6008 2200
0.699026 6568 6008 2200
0.699433 6568 6008 2200
0.699842 6568 6008 2200
0.700252 6570 6009 2200
0.70066 6570 6009 2200
0.701067 6570 6009 2200
0.701472 6571 6010 2200
0.701875 6571 6010 2200
0.70228 6572 6010 2200
0.702675 6573 6011 2200
0.70307 6573 6011 2201
0.703463 6575 6013 2201
0.703859 6575 6013 2201
0.704251 6577 6015 2202
0.70464 6578 6016 2202
0.705032 6578 6016 2202
0.705423 6581 6018 2203
0.705812 6581 6018 2203
0.706199 6581 6018 2203
0.706585 6582 6019 2203
0.706967 6583 6020 2203
0.707352 6583 6020 2203
0.707733 6583 6020 2203
0.708113 6584 6020 2203
0.70849 6586 6020 2203
0.708867 6586 6020 2203
0.709246 6587 6020 2203
0.709618 6587 6020 2204
0.709991 6587 6020 2204
0.71036 6587 6020 2204
0.710728 6587 6020 2205
0.711098 6587 6020 2206
0.711465 6587 6020 2206
0.711832 6587 6020 2207
0.712196 6588 6020 2207
0.712562 6590 6020 2207
0.712926 6590 6020 2208
0.713289 6591 6020 2208
0.71365 6591 6020 2208
0.714009 6591 6020 2209
0.714365 6592 6020 2209
0.714725 6593 6021 2209
0.715082 6595 6022 2209
0.71544 6595 6022 2209
0.715794 6595 6022 2209
0.716147 6596 6022 2209
0.716497 6597 6023 2209
0.716842 6597 6023 2209
0.71719 6597 6023 2209
0.717537 6598 6024 2209
0.717885 6599 6024 2209
0.718229 6599 6024 2209
0.71857 6599 6024 2209
0.718911 6599 6024 2209
0.719253 6599 6024 2210
0.719594 6599 6024 2210
0.719935 6599 6024 2211
0.720269 6599 6024 2211
0.720602 6600 6025 2211
0.720937 6600 6025 2211
0.721273 6601 6026 2211
0.721601 6601 6026 2211
0.721932 6602 6026 2211
0.722261 6603 6026 2211
0.722593 6603 6026 2211
0.72292 6605 6027 2211
0.723246 6606 6027 2212
0.723574 6608 6029 2212
0.723899 6610 6030 2213
0.724221 6610 6030 2213
0.724542 6611 6030 2213
0.724866 6613 6031 2213
0.725184 6613 6031 2213
0.725502 6613 6031 2213
0.725818 6613 6031 2213
0.72614 6613 6031 2214
0.726455 6614 6031 2214
0.72677 6616 6032 2214
0.72708 6616 6032 2214
0.727394 6617 6032 2214
0.727707 6620 6033 2214
0.728021 6622 6035 2214
0.728331 6623 6036 2214
0.728636 6623 6036 2214
0.728945 6623 6036 2214
0.72925 6623 6036 2214
0.729553 6624 6036 2214
0.72986 6625 6036 2214
0.730164 6625 6036 2214
0.730466 6625 6036 2214
0.730777 6625 6036 2214
0.731081 6625 6036 2214
0.731381 6626 6036 2214
0.731676 6626 6036 2214
0.731979 6627 6036 2214
0.732272 6628 6037 2214
0.732568 6630 6038 2215
0.732863 6630 6038 2215
0.73316 6631 6038 2216
0.733453 6631 6038 2216
0.733744 6631 6038 2216
0.734037 6631 6038 2216
0.734326 6631 6038 2216
0.734615 6634 6040 2216
0.734902 6635 6041 2216
0.735191 6636 6042 2216
0.735476 6638 6044 2216
0.735763 6639 6044 2216
0.736046 6639 6044 2216
0.736329 6642 6047 2216
0.736611 6642 6047 2217
0.736892 6646 6050 2217
0.737173 6646 6050 2218
0.737454 6646 6050 2218
0.737732 6646 6050 2218
0.738012 6646 6050 2218
0.738288 6646 6050 2219
0.738565 6646 6050 2219
0.73884 6646 6050 2219
0.739116 6646 6050 2219
0.73939 6646 6050 2219
0.739662 6646 6050 2219
